"﻿ORDER_NO";"SCHEDULE_ID";"BUILD_TYPE";"BUILD_SEQ";"PREV_BUILD_SEQ";"NEXT_BUILD_SEQ";"PANE";"COMP";"QTY";"WEIGHT";"MAT_ID";"GLASS_NAME";"STEP_NO";"NEXT_STEP_NO";"PREV_STEP_NO";"STEP_NAME";"PLAN_SEQ";"PLANNED_MACHINE";"WTIME";"CYCLE_TIME";"SCHEDULED_DATE";"PLANNED_SHIFT"
2578713;449735;2;3;0;1;2;0;15;389;24406;"6 Crystalvision Planibel зак";25000;"";21001;"Термообработка";34;2530;0.413;5;"22.11.2023";2
2578713;449735;2;4;0;1;3;0;15;389;33946;"6 Top NT on КРИСТАЛВИЖН Зак";1110;21001;"";"Резка СП (закаленное стекло)";24;1000;0.71;4;"22.11.2023";1
2578713;449735;2;4;0;1;3;0;15;389;33946;"6 Top NT on КРИСТАЛВИЖН Зак";21001;25000;1110;"МО Обработка кромки";25;2203;0.568;4;"22.11.2023";1
2578713;449735;2;4;0;1;3;0;15;389;33946;"6 Top NT on КРИСТАЛВИЖН Зак";25000;"";21001;"Термообработка";34;2540;0.452;5;"22.11.2023";2
2578713;449735;3;5;0;1;0;1;15;0;2518;"";40000;"";"";"Гнутье рамки";47;4000;0.387;0.39;"23.11.2023";1
2578713;449735;3;6;0;1;0;2;15;0;2526;"";40000;"";"";"Гнутье рамки";47;4000;0.387;0.39;"23.11.2023";1
2578713;449736;1;1;2;0;0;0;10;879;"";"";50000;3600;"";"Сборка специальных с\п";49;5050;0.528;5;"23.11.2023";1
2578713;449736;1;1;2;0;0;0;10;879;"";"";3600;55000;50000;"Втулки_Герметизация";50;340;0.003;0;"24.11.2023";1
2578713;449736;1;1;2;0;0;0;10;879;"";"";55000;60000;3600;"Ящик";53;5500;0.006;0.016;"24.11.2023";1
2578713;449736;1;1;2;0;0;0;10;879;"";"";60000;70000;55000;"Упаковка прочая";54;6000;0.014;4;"24.11.2023";2
2578713;449736;1;1;2;0;0;0;10;879;"";"";70000;"";60000;"Погрузка";55;7000;0.056;0.06;"26.11.2023";1
2578713;449736;2;2;0;1;1;0;10;293;32056;"6 Energy Light T on КРИСТАЛВИЖН зак";1110;21001;"";"Резка СП (закаленное стекло)";24;1000;0.609;4;"21.11.2023";2
