CALENDAR_NR;C_DATE;C_SHIFT;CALENDAR
1028;10.11.2023;2;0
1028;11.11.2023;1;11,98
1028;11.11.2023;2;0
1028;12.11.2023;1;11,98
1028;12.11.2023;2;0
1028;13.11.2023;1;11,98
1028;13.11.2023;2;0
1028;14.11.2023;1;11,98
1028;14.11.2023;2;0
1028;15.11.2023;1;11,98
1028;15.11.2023;2;0
1028;16.11.2023;1;11,98
1028;16.11.2023;2;0
1028;17.11.2023;1;11,98
1028;17.11.2023;2;0
1028;18.11.2023;1;11,98
1028;18.11.2023;2;0
1028;19.11.2023;1;11,98
1028;19.11.2023;2;0
1028;20.11.2023;1;11,98
1028;20.11.2023;2;0
1028;21.11.2023;1;11,98
1028;21.11.2023;2;0
1028;22.11.2023;1;11,98
1028;22.11.2023;2;0
1028;23.11.2023;1;11,98
1028;23.11.2023;2;0
1028;24.11.2023;1;11,98
1028;24.11.2023;2;0
1028;25.11.2023;1;11,98
1028;25.11.2023;2;0
1028;26.11.2023;1;11,98
1028;26.11.2023;2;0
1028;27.11.2023;1;11,98
1028;27.11.2023;2;0
1028;28.11.2023;1;11,98
1028;28.11.2023;2;0
1028;29.11.2023;1;11,98
1028;29.11.2023;2;0
1028;30.11.2023;1;11,98
1028;30.11.2023;2;0
1028;01.12.2023;1;11,98
1028;01.12.2023;2;0
1028;02.12.2023;1;11,98
1028;02.12.2023;2;0
1028;03.12.2023;1;11,98
1028;03.12.2023;2;0
1028;04.12.2023;1;11,98
1028;04.12.2023;2;0
1028;05.12.2023;1;11,98
1028;05.12.2023;2;0
1028;06.12.2023;1;11,98
1028;06.12.2023;2;0
1028;07.12.2023;1;11,98
1028;07.12.2023;2;0
1028;08.12.2023;1;11,98
1028;08.12.2023;2;0
1028;09.12.2023;1;11,98
1028;09.12.2023;2;0
1028;10.12.2023;1;11,98
1028;10.12.2023;2;0
1028;11.12.2023;1;11,98
1028;11.12.2023;2;0
1028;12.12.2023;1;11,98
1028;12.12.2023;2;0
1028;13.12.2023;1;11,98
1028;13.12.2023;2;0
1028;14.12.2023;1;11,98
1028;14.12.2023;2;0
1028;15.12.2023;1;11,98
1028;15.12.2023;2;0
1028;16.12.2023;1;11,98
1028;16.12.2023;2;0
1028;17.12.2023;1;11,98
1028;17.12.2023;2;0
1028;18.12.2023;1;11,98
1028;18.12.2023;2;0
1028;19.12.2023;1;11,98
1028;19.12.2023;2;0
1028;20.12.2023;1;11,98
1028;20.12.2023;2;0
1028;21.12.2023;1;11,98
1028;21.12.2023;2;0
1028;22.12.2023;1;11,98
1028;22.12.2023;2;0
1028;23.12.2023;1;11,98
1028;23.12.2023;2;0
1028;24.12.2023;1;11,98
1028;24.12.2023;2;0
1028;25.12.2023;1;11,98
1028;25.12.2023;2;0
1028;26.12.2023;1;11,98
1028;26.12.2023;2;0
1028;27.12.2023;1;11,98
1028;27.12.2023;2;0
1028;28.12.2023;1;11,98
1028;28.12.2023;2;0
1028;29.12.2023;1;11,98
1028;29.12.2023;2;0
1028;30.12.2023;1;11,98
1028;30.12.2023;2;0
1028;31.12.2023;1;11,98
1028;31.12.2023;2;0
1028;01.01.2024;1;11,98
1028;01.01.2024;2;0
1028;02.01.2024;1;11,98
1028;02.01.2024;2;0
1028;03.01.2024;1;11,98
1028;03.01.2024;2;0
1028;04.01.2024;1;11,98
1028;04.01.2024;2;0
1028;05.01.2024;1;11,98
1028;05.01.2024;2;0
1028;06.01.2024;1;11,98
1028;06.01.2024;2;0
1028;07.01.2024;1;11,98
1028;07.01.2024;2;0
1028;08.01.2024;1;11,98
1028;08.01.2024;2;0
1028;09.01.2024;1;11,98
1028;09.01.2024;2;0
1028;10.01.2024;1;11,98
1028;10.01.2024;2;0
1028;11.01.2024;1;11,98
1028;11.01.2024;2;0
1028;12.01.2024;1;11,98
1028;12.01.2024;2;0
1028;13.01.2024;1;11,98
1028;13.01.2024;2;0
1028;14.01.2024;1;11,98
1028;14.01.2024;2;0
1028;15.01.2024;1;11,98
1028;15.01.2024;2;0
1028;16.01.2024;1;11,98
1028;16.01.2024;2;0
1028;17.01.2024;1;11,98
1028;17.01.2024;2;0
1028;18.01.2024;1;11,98
1028;18.01.2024;2;0
1028;19.01.2024;1;11,98
1028;19.01.2024;2;0
1028;20.01.2024;1;11,98
1028;20.01.2024;2;0
1028;21.01.2024;1;11,98
1028;21.01.2024;2;0
1028;22.01.2024;1;11,98
1028;22.01.2024;2;0
1028;23.01.2024;1;11,98
1028;23.01.2024;2;0
1028;24.01.2024;1;11,98
1028;24.01.2024;2;0
1028;25.01.2024;1;11,98
1028;25.01.2024;2;0
1028;26.01.2024;1;11,98
1028;26.01.2024;2;0
1028;27.01.2024;1;11,98
1028;27.01.2024;2;0
1028;28.01.2024;1;11,98
1028;28.01.2024;2;0
1028;29.01.2024;1;11,98
1028;29.01.2024;2;0
1028;30.01.2024;1;11,98
1028;30.01.2024;2;0
1028;31.01.2024;1;11,98
1028;31.01.2024;2;0
1028;01.02.2024;1;11,98
1028;01.02.2024;2;0
1028;02.02.2024;1;11,98
1028;02.02.2024;2;0
1028;03.02.2024;1;11,98
1028;03.02.2024;2;0
1028;04.02.2024;1;11,98
1028;04.02.2024;2;0
1028;05.02.2024;1;11,98
1028;05.02.2024;2;0
1028;06.02.2024;1;11,98
1028;06.02.2024;2;0
1028;07.02.2024;1;11,98
1028;07.02.2024;2;0
1028;08.02.2024;1;11,98
1028;08.02.2024;2;0
1028;09.02.2024;1;11,98
1028;09.02.2024;2;0
1028;10.02.2024;1;11,98
1028;10.02.2024;2;0
1028;11.02.2024;1;11,98
1028;11.02.2024;2;0
